Statistic Label,Half Year,Gross household income quintiles,UNIT,VALUE
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2020H1,1st quintile,%,34.7
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2020H1,2nd quintile,%,21.5
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2020H1,3rd quintile,%,15.3
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2020H1,4th quintile,%,11.6
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2020H1,5th quintile,%,9
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2020H1,All quintiles,%,11.6
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2020H2,1st quintile,%,31.8
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2020H2,2nd quintile,%,23.5
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2020H2,3rd quintile,%,14.7
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2020H2,4th quintile,%,11.7
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2020H2,5th quintile,%,9
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2020H2,All quintiles,%,11.6
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2021H1,1st quintile,%,27.6
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2021H1,2nd quintile,%,24
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2021H1,3rd quintile,%,13.8
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2021H1,4th quintile,%,11.6
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2021H1,5th quintile,%,9.1
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2021H1,All quintiles,%,11.2
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2021H2,1st quintile,%,28.5
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2021H2,2nd quintile,%,24.4
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2021H2,3rd quintile,%,14.6
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2021H2,4th quintile,%,11.7
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2021H2,5th quintile,%,9.2
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2021H2,All quintiles,%,11.2
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2022H1,1st quintile,%,32
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2022H1,2nd quintile,%,22.4
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2022H1,3rd quintile,%,14.5
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2022H1,4th quintile,%,11.7
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2022H1,5th quintile,%,9
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2022H1,All quintiles,%,11
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2022H2,1st quintile,%,38
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2022H2,2nd quintile,%,24.2
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2022H2,3rd quintile,%,14.8
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2022H2,4th quintile,%,12.7
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2022H2,5th quintile,%,9.2
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2022H2,All quintiles,%,11.6
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2023H1,1st quintile,%,40.8
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2023H1,2nd quintile,%,24.9
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2023H1,3rd quintile,%,15.6
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2023H1,4th quintile,%,13.4
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2023H1,5th quintile,%,9.2
Median Debt Service to Income Ratio for Household Main Residence (HMR) Debt,2023H1,All quintiles,%,11.8
